Date,Title,URL,md_file,Job_Description
2026-05-05,Fire Management Coordinator - Identified,https://www.apsjobs.gov.au/s/job-details?title=fire-management-coordinator-identified&Id=a05OY00000OPMsLYAX,11.md,DCCEEW is hiring [Fire Management Coordinator - Identified](https://www.apsjobs.gov.au/s/job-details?title=fire-management-coordinator-identified&Id=a05OY00000OPMsLYAX) for Parks Australia fire management.
2026-05-05,Fire Management Coordinator - Affirmative measure (Indigenous),https://www.apsjobs.gov.au/s/job-details?title=fire-management-coordinator-affirmative-measure-indigenous-&Id=a05OY00000OPLhmYAH,12.md,"Department of Climate Change, Energy, the Environment and Water (DCCEEW) is hiring [Fire Management Coordinator - Affirmative measure (Indigenous)](https://www.apsjobs.gov.au/s/job-details?title=fire-management-coordinator-affirmative-measure-indigenous-&Id=a05OY00000OPLhmYAH) for its fire management team."
2026-05-05,Seasonal Interpretative Ranger,https://www.apsjobs.gov.au/s/job-details?title=seasonal-interpretative-ranger&Id=a05OY00000OPIlVYAX,13.md,"Department of Climate Change, Energy, the Environment and Water (DCCEEW) is hiring [Seasonal Interpretative Ranger](https://www.apsjobs.gov.au/s/job-details?title=seasonal-interpretative-ranger&Id=a05OY00000OPIlVYAX) for its Tourism and Visitor Services team."
2026-05-05,"APS5 - Senior Payroll Officer, People Branch",https://www.apsjobs.gov.au/s/job-details?title=aps5-senior-payroll-officer-people-branch&Id=a05OY00000ON9G5YAL,14.md,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts is hiring [APS5 - Senior Payroll Officer, People Branch](https://www.apsjobs.gov.au/s/job-details?title=aps5-senior-payroll-officer-people-branch&Id=a05OY00000ON9G5YAL) for Payroll Services."
2026-05-05,"ISR Specialist, Uncrewed Systems",https://www.apsjobs.gov.au/s/job-details?title=isr-specialist-uncrewed-systems&Id=a05OY00000OMmhhYAD,15.md,"DCCEEW is hiring [ISR Specialist, Uncrewed Systems](https://www.apsjobs.gov.au/s/job-details?title=isr-specialist-uncrewed-systems&Id=a05OY00000OMmhhYAD) for its Office of the Chief Remote Pilot (OCRP) team."
2026-05-06,Chief Executive Officer,https://au.seek.com/job/91982583?type=standard&ref=search-standalone&origin=cardTitle#sol=65348b313a5f7b90ff71b8265ce139f19ed62273,16.md,Central Coast ARAFMI (CCA) is hiring [Chief Executive Officer](https://www.ccarafmi.org.au) for its disability services and mental health program team.
2026-05-07,Chief Executive Officer,https://au.seek.com/job/91992669?type=standard&ref=search-standalone&origin=jobCard#sol=d3faa3ae1b7e6e3e50b7b347ae25010658e8f418,17.md,Community Options Australia is hiring [Chief Executive Officer](https://example.com/ceo-community-options-australia) for its leadership team.
2026-05-08,Chief Executive Officer,https://au.seek.com/job/91983850?type=standard&ref=search-standalone&origin=jobCard#sol=05488ab822cbe89ba6ee6d3447a24f2d07eb09d7,18.md,Vanuatu Emergency Services Association (VESA) is hiring [Chief Executive Officer](https://example.com/vesa-ceo) for its ProMedical and ProRescue teams.
2026-05-07,Chief Operating Officer,https://au.seek.com/job/91942629?type=standard&ref=search-standalone&origin=jobCard#sol=95af10f36a7e89dc4e19422da76499fa520dd5a7d,19.md,Could you provide the main job page URL or the organization name so I can include the correct link and details?
2026-05-07,"Executive General Manager, Program",https://www.apsjobs.gov.au/s/job-details?title=executive-general-manager-program&Id=a05OY00000OSr6nYAD,20.md,"High Speed Rail Authority is hiring [Executive General Manager, Program](https://www.apsjobs.gov.au/s/job-details?title=executive-general-manager-program&Id=a05OY00000OSr6nYAD) for its Development Phase delivery team."
2026-05-07,Contract and Finance Officer,https://www.apsjobs.gov.au/s/job-details?title=contract-and-finance-officer&Id=a05OY00000OSEbiYAH,21.md,"Department of Agriculture, Fisheries and Forestry is hiring [Contract and Finance Officer](https://www.apsjobs.gov.au/aps_VacancyDetailPage?id=a05OY00000OSEbiYAH) for Property Services Branch via RecruitAbility."
2026-05-05,"Director, Property Services",https://www.apsjobs.gov.au/s/job-details?title=director-property-services&Id=a05OY00000OPl5xYAD,22.md,"Department of Veterans' Affairs is hiring [Director, Property Services](https://www.apsjobs.gov.au/aps_VacancyDetailPage?id=a05OY00000OPl5xYAD) to lead the Property Operations within the Integrity, Security and Property Branch."
2026-05-04,Procurement Business Partner,https://www.apsjobs.gov.au/s/job-details?title=procurement-business-partner&Id=a05OY00000OQCcQYAX,23.md,Future Fund Management Agency is hiring [Procurement Business Partner](https://www.apsjobs.gov.au/s/job-details?title=procurement-business-partner&Id=a05OY00000OQCcQYAX) for its Corporate procurement team.
2026-05-04,Property Services Manager,https://www.apsjobs.gov.au/s/job-details?title=property-services-manager&Id=a05OY00000ON0r7YAD,24.md,"Department of Agriculture, Fisheries and Forestry is hiring [Property Services Manager](https://www.apsjobs.gov.au/s/job-details?title=property-services-manager&Id=a05OY00000ON0r7YAD) for its People, Property and Security Division."
2026-05-04,Project Manager,https://www.apsjobs.gov.au/s/job-details?title=project-manager&Id=a05OY00000OJJPJYA5,25.md,"Department of Climate Change, Energy, the Environment and Water is hiring [Project Manager](https://www.apsjobs.gov.au/aps_VacancyDetailPage?id=a05OY00000OJJPJYA5) for its Parks Infrastructure Teams."
2026-04-30,Project Support Officer (Affirmative Measure - Indigenous),https://www.apsjobs.gov.au/s/job-details?title=project-support-officer-affirmative-measure-indigenous-&Id=a05OY00000OJAFbYAP,26.md,"Department of Climate Change, Energy, the Environment and Water is hiring [Project Support Officer (Indigenous)](https://www.dcceew.gov.au/about/jobs) for Parks Infrastructure."
2026-04-27,ICT Business Systems Analyst - Great Barrier Reef Aquarium,https://www.apsjobs.gov.au/s/job-details?title=ict-business-systems-analyst-great-barrier-reef-aquarium&Id=a05OY00000OKYisYAH,27.md,Great Barrier Reef Marine Park Authority is hiring [ICT Business Systems Analyst - Great Barrier Reef Aquarium](https://www.apsjobs.gov.au/s/job-details?title=ict-business-systems-analyst-great-barrier-reef-aquarium&Id=a05OY00000OKYisYAH) for its Aquarium ICT team.
2026-04-24,Assistant Director - Property Services,https://www.apsjobs.gov.au/s/job-details?title=assistant-director-property-services&Id=a05OY00000OD8htYAD,28.md,"Department of Agriculture, Fisheries and Forestry is hiring [Assistant Director - Property Services](https://www.apsjobs.gov.au/s/job-details?title=assistant-director-property-services&Id=a05OY00000OD8htYAD) for its Property Services Branch."
2026-04-22,Intranet Team Leader,https://www.apsjobs.gov.au/s/job-details?title=intranet-team-leader&Id=a05OY00000OEZcnYAH,29.md,"Department of Agriculture, Fisheries and Forestry is hiring [Intranet Team Leader](https://www.agriculture.gov.au/about/jobs/) for its Web Systems unit."
2026-04-21,"Assistant Director, Aquarium Commercial Operations",https://www.apsjobs.gov.au/s/job-details?title=assistant-director-aquarium-commercial-operations&Id=a05OY00000OBqQTYA1,30.md,"Great Barrier Reef Marine Park Authority hires [Assistant Director, Aquarium Commercial Operations](https://www.apsjobs.gov.au/aps_VacancyDetailPage?id=a05OY00000OBqQTYA1) for its Aquarium Commercial Operations team."
2026-04-20,"Manager, Registration",https://www.apsjobs.gov.au/s/job-details?title=manager-registration&Id=a05OY00000O6u05YAB,31.md,"National Museum of Australia is hiring [Manager, Registration](https://www.apsjobs.gov.au/aps_VacancyDetailPage?id=a05OY00000O6u05YAB) for its Registration team."
2026-04-13,Branch Head - People and Payroll,https://www.apsjobs.gov.au/s/job-details?title=branch-head-people-and-payroll&Id=a05OY00000O7p81YAB,32.md,Federal Court of Australia is hiring [Branch Head - People and Payroll](https://www.apsjobs.gov.au/s/job-details?title=branch-head-people-and-payroll&Id=a05OY00000O7p81YAB) for People and Payroll team.
2025-07-01,SES Band 3 Deputy Auditor-General,https://www.apsjobs.gov.au/s/job-details?title=ses-band-3-deputy-auditor-general&Id=a05OY00000NrHYYYA3,33.md,Australian National Audit Office is hiring [SES Band 3 Deputy Auditor-General](https://www.apsjobs.gov.au/s/job-details?title=ses-band-3-deputy-auditor-general&Id=a05OY00000NrHYYYA3) for its ANAO executive leadership team.
2025-07-01,Temporary Employment Register - 2025/26,https://www.apsjobs.gov.au/s/job-details?title=temporary-employment-register-2025-26&Id=a05OY00000E0p2VYAR,34.md,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and Arts is hiring [Temporary Employment Register - 2025/26](https://www.apsjobs.gov.au/s/job-details?title=temporary-employment-register-2025-26&Id=a05OY00000E0p2VYAR) program."
