Date,Title,URL,md_file,ESG_or_not
2026-05-07,Statement from Education Minister John-Paul Langbroek,https://statements.qld.gov.au/statements/105035,18.md,Yes
2026-05-07,Crisafulli Government delivers funding for Far North Queensland tourism upgrades,https://statements.qld.gov.au/statements/105029,19.md,Yes
2026-05-06,Kickstarting early intervention to keep Gympie youth out of crime,https://statements.qld.gov.au/statements/105020,20.md,Yes
2026-05-06,$73.8 million boost to train more tradies in Queensland,https://statements.qld.gov.au/statements/105025,21.md,Yes
2026-05-06,Back to School Boost delivering cost-of-living relief for Queensland families,https://statements.qld.gov.au/statements/105028,22.md,Yes
2026-05-01,"IMO progresses work on ship emissions, pollution and ocean protection",https://www.imo.org/en/MediaCentre/PressBriefings/pages/IMO-progresses-work-on-ship-emissions-pollution-and-ocean-protection.aspx,23.md,Yes
2026-05-05,Mozambique advances maritime security coordination with IMO support,https://www.imo.org/en/MediaCentre/Pages/WhatsNew-2446.aspx,24.md,Yes
2026-05-01,Workshops promote maritime decarbonization in South-East Asia,https://www.imo.org/en/MediaCentre/Pages/WhatsNew-2447.aspx,25.md,Yes
2026-05-07,EU awards over €1 billion to European hydrogen projects to accelerate the clean transition,https://ec.europa.eu/commission/presscorner/detail/en/ip_26_1004,CLEANED,NO FILE
2026-05-07,EU prepares coordinated response to address the jet fuel supply situation as the conflict in the Middle East persists,https://energy.ec.europa.eu/news/eu-prepares-coordinated-response-address-jet-fuel-supply-situation-conflict-middle-east-persists-2026-05-07_en,27.md,Yes
2026-05-05,Speech by Commissioner Jørgensen at the French G7 Presidency's International High-Level Multi-Stakeholder Event on Methane Action,https://ec.europa.eu/commission/presscorner/detail/en/speech_26_987,CLEANED,NO FILE
2026-05-05,Eurostat: EU household electricity prices stable in 2025,https://ec.europa.eu/eurostat/en/web/products-eurostat-news/w/ddn-20260505-1,29.md,Yes
2026-05-05,Eurostat: EU household gas prices up in the second half of 2025,https://ec.europa.eu/eurostat/en/web/products-eurostat-news/w/ddn-20260505-2,CLEANED,NO FILE
2026-05-05,EU-Moldova High-Level Energy Dialogue: Renewed commitment to closer energy cooperation,https://energy.ec.europa.eu/news/eu-moldova-high-level-energy-dialogue-renewed-commitment-closer-energy-cooperation-2026-05-05_en,31.md,Yes
2026-05-05,2026 European Sustainable Energy Awards: vote for your favourite finalist,https://energy.ec.europa.eu/news/2026-european-sustainable-energy-awards-vote-your-favourite-finalist-2026-05-05_en,32.md,Yes
2026-05-04,Commissioner Jørgensen hosts high-level implementation dialogue on energy efficiency,https://energy.ec.europa.eu/news/commissioner-jorgensen-hosts-high-level-implementation-dialogue-energy-efficiency-2026-05-05_en,33.md,Yes
2026-05-05,Member States move ahead with Commission proposal to reinforce data sharing in fight against cross-border tax fraud,https://taxation-customs.ec.europa.eu/news/member-states-move-ahead-commission-proposal-reinforce-data-sharing-fight-against-cross-border-tax-2026-05-05_en,34.md,Yes
2026-05-07,CBAM: How to make decarbonisation efforts pay off,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism/carbon-border-adjustment-mechanism-how-make-decarbonisation-efforts-pay-2026-05-07_en,35.md,Yes
2026-05-06,IAASB Seeks Feedback on Proposed Revisions to ISRE 2410 to Strengthen Interim Review Engagements,https://www.iaasb.org/news-events/2026-05/iaasb-seeks-feedback-proposed-revisions-isre-2410-strengthen-interim-review-engagements,36.md,Yes
2026-05-07,Fires ignite impassioned response from regional communities,https://www.parliament.vic.gov.au/news/environment/firehearings,37.md,Yes
2026-05-05,Experts say biodiversity critical to Victoria’s future,https://www.parliament.vic.gov.au/news/environment/regenerative-seminar,38.md,Yes
2026-05-04,Scams misusing Department of Social Services branding and programs,https://www.dss.gov.au/news/scams-misusing-department-social-services-branding-and-programs,39.md,Yes
2026-05-01,New urban farming project to increase food access,https://www.dss.gov.au/news/new-urban-farming-project-increase-food-access,40.md,Yes
2026-05-07,Governor Newsom launches Engaged California statewide for the first time to give all Californians a stronger voice in AI policy,https://www.gov.ca.gov/2026/05/07/governor-newsom-launches-engaged-california-statewide-for-the-first-time-to-give-all-californians-a-stronger-voice-in-ai-policy/,41.md,Yes
2026-05-06,"Governor Newsom announces $1B in private investment generated through California Competes Tax Credits, driving business expansion in key industry sectors",https://www.gov.ca.gov/2026/05/06/governor-newsom-announces-1b-in-private-investment-generated-through-california-competes-tax-credits-driving-business-expansion-in-key-industry-sectors/,42.md,Yes
2026-05-04,Governor Newsom proclaims Wildfire Preparedness Week as state doubles down on wildfire readiness,https://www.gov.ca.gov/2026/05/04/governor-newsom-proclaims-wildfire-preparedness-week-as-state-doubles-down-on-wildfire-readiness/,43.md,Yes
2026-05-07,Governor Newsom proclaims National Teacher Appreciation Week,https://www.gov.ca.gov/2026/05/07/governor-newsom-proclaims-national-teacher-appreciation-week/,44.md,Yes
2026-05-07,California is more prepared for our water future than ever before,https://www.gov.ca.gov/2026/05/07/california-is-more-prepared-for-our-water-future-than-ever-before/,45.md,Yes
2026-05-07,"During Wildfire Preparedness Week, Governor Newsom announces $70 million available for wildfire prevention and resilience projects statewide",https://www.gov.ca.gov/2026/05/07/during-wildfire-preparedness-week-governor-newsom-announces-70-million-available-for-wildfire-prevention-and-resilience-projects-statewide/,46.md,Yes
2026-05-07,Film industry and labor leaders celebrate Governor Newsom’s expanded California Film & Television Tax Credit Program as filming grows in the Golden State,https://www.gov.ca.gov/2026/05/07/film-industry-and-labor-leaders-celebrate-governor-newsoms-expanded-california-film-television-tax-credit-program-as-filming-grows-in-the-golden-state/,47.md,Yes
2026-05-01,AASB May 2026 Board Meeting Public Agenda and Papers out now,https://aasb.gov.au/news/aasb-may-2026-board-meeting-public-agenda-and-papers-out-now/,48.md,Yes
2026-05-05,Message from Mr Khaled El-Enany Director-General of UNESCO for African World Heritage Day 5 May 2026,https://whc.unesco.org/en/news/2895,CLEANED,NO FILE
2026-05-05,Improving World Heritage management in Malawi,https://whc.unesco.org/en/news/2896,50.md,Yes
2026-05-08,Key appointments to Synergy Board,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Key-appointments-to-Synergy-Board--20260508,51.md,Yes
2026-05-07,Cook Labor Government delivering for the Wheatbelt,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-the-Wheatbelt-20260507,52.md,Yes
2026-05-07,Cook Labor Government delivering for the Gascoyne,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-the-Gascoyne-20260507,CLEANED,NO FILE
2026-05-07,Cook Labor Government delivering for Peel,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-Peel-20260507,54.md,Yes
2026-05-07,Cook Labor Government delivering for the Mid West,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-the-Mid-West-20260507,CLEANED,NO FILE
2026-05-07,Cook Labor Government delivering for the Great Southern,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-the-Great-Southern-20260507,56.md,Yes
2026-05-07,Cook Labor Government delivering for the Kimberley,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-the-Kimberley-20260507,57.md,Yes
2026-05-07,Cook Labor Government delivering for Goldfields-Esperance,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-Goldfields-Esperance-20260507,58.md,Yes
2026-05-07,Cook Labor Government delivering for the South West,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-the-South-West-20260507,59.md,Yes
2026-05-07,Cook Labor Government delivering for the Pilbara,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-the-Pilbara-20260507,60.md,Yes
2026-05-07,Cook Labor Government delivering for regional Western Australia,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Cook-Labor-Government-delivering-for-regional-Western-Australia-20260507,CLEANED,NO FILE
2026-05-07,"Budget delivers better outcomes for Aboriginal people, communities","https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-delivers-better-outcomes-for-Aboriginal-people,-communities-20260507",62.md,Yes
2026-05-07,Budget to strengthen and protect Western Australia's environment,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-to-strengthen-and-protect-Western-Australia's-environment-20260507,63.md,Yes
2026-05-07,Budget delivering quality infrastructure for Western Australians,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-delivering-quality-infrastructure-for-Western-Australians-20260507,64.md,Yes
2026-05-07,"Budget delivering safe, inclusive communities in Western Australia","https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-delivering-safe,-inclusive-communities-in-Western-Australia--20260507",65.md,Yes
2026-05-07,Budget to deliver quality education throughout Western Australia,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-to-deliver-quality-education-throughout-Western-Australia-20260507,66.md,Yes
2026-05-07,Budget to help Western Australians access healthcare they need,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-to-help-Western-Australians-access-healthcare-they-need-20260507,67.md,Yes
2026-05-07,Budget to keep Western Australia's economy strongest in the nation,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-to-keep-Western-Australia's-economy-strongest-in-the-nation-20260507,68.md,Yes
2026-05-07,Budget focused on ensuring every Western Australian has a home,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-focused-on-ensuring-every-Western-Australian-has-a-home-20260507,69.md,Yes
2026-05-07,Budget delivers cost-of-living relief to Western Australian families,https://www.wa.gov.au/government/media-statements/Cook%20Labor%20Government/Budget-delivers-cost-of-living-relief-to-Western-Australian-families-20260507,70.md,Yes
2026-05-07,GCF and UNICEF strengthen partnership to scale climate action,https://www.greenclimate.fund/news/gcf-and-unicef-strengthen-partnership-scale-climate-action,71.md,Yes
2026-05-08,University spending on R&D returns to pre-COVID-19 levels,https://www.abs.gov.au/media-centre/media-releases/university-spending-rd-returns-pre-covid-19-levels,72.md,No
2026-05-07,Less than 100 days to the 2026 Census,https://www.abs.gov.au/media-centre/media-releases/less-100-days-2026-census,73.md,No
2026-05-06,"7 ways Australians felt, connected and contributed in 2025",https://www.abs.gov.au/media-centre/media-releases/7-ways-australians-felt-connected-and-contributed-2025,74.md,Yes
2026-05-05,Transport costs fuel sharp rise in household spending,https://www.abs.gov.au/media-centre/media-releases/transport-costs-fuel-sharp-rise-household-spending,75.md,No
2026-05-04,Dwelling approvals fall in March,https://www.abs.gov.au/media-centre/media-releases/dwelling-approvals-fall-march-0,76.md,No
2026-05-01,New insights into Aboriginal and Torres Strait Islander peoples’ physical activity and sleep,https://www.abs.gov.au/media-centre/media-releases/new-insights-aboriginal-and-torres-strait-islander-peoples-physical-activity-and-sleep,77.md,Yes
2026-05-06,EOI to exhibit at Australia’s Premier Food Industry Trade Show are open!,https://www.investregional.nsw.gov.au/news/eoi-exhibit-australias-premier-food-industry-trade-show-are-open,78.md,No
2026-05-06,Aquaculture success on the South Coast,https://www.investregional.nsw.gov.au/news/aquaculture-success-south-coast,79.md,Yes
2026-05-06,Major push to control feral deer in western NSW underway,https://www.nsw.gov.au/ministerial-releases/controlling-feral-deer-western-nsw,80.md,Yes
2026-05-04,"99% efficient bioreactors, but whole-farm action matters",https://www.nsw.gov.au/departments-and-agencies/local-land-services/news/99-efficient-bioreactors-but-whole-farm-action-matters,81.md,Yes
2026-05-04,Talking tactics for the winter ahead,https://www.nsw.gov.au/departments-and-agencies/local-land-services/news/talking-tactics-for-winter-ahead,82.md,Yes
2026-05-04,Good Neighbours Program helps tackle orange hawkweed,https://www.nsw.gov.au/departments-and-agencies/local-land-services/news/good-neighbours-program-helps-tackle-orange-hawkweed,83.md,Yes
2026-05-05,Türkiye embarks on the Silk Road Caravan 2026,https://www.unccd.int/news-stories/press-releases/turkiye-embarks-silk-road-caravan-2026,84.md,Yes
2026-05-06,Science in action: Meet Rohana,https://www2.gbrmpa.gov.au/news/science-action-meet-rohana,85.md,Yes
2026-05-05,End of summer snapshot reveals varied pressures for the Great Barrier Reef,https://www2.gbrmpa.gov.au/news/end-summer-snapshot-reveals-varied-pressures-great-barrier-reef,86.md,Yes
2026-05-04,The Daphne Caruana Galizia Prize for Journalism - call for submission of entries,https://www.europarl.europa.eu/news/en/press-room/20260430IPR42316/the-daphne-caruana-galizia-prize-for-journalism-call-for-submission-of-entries,87.md,Yes
2026-05-04,Media Release - Draft findings on NSW biodiversity credits market in 2024-25 - 4 May 2026,https://www.ipart.nsw.gov.au/documents/media-release/media-release-draft-findings-nsw-biodiversity-credits-market-2024-25-4-may-2026,88.md,Yes
2026-05-08,Netflix series 'Radioactive Emergency' reviewed by an ANSTO health physicist,https://www.ansto.gov.au/news/netflix-series-radioactive-emergency-reviewed-by-an-ansto-health-physicist,89.md,No
2026-05-08,Domestic gas reservation secures Australian gas for Australian users,https://www.dcceew.gov.au/about/news/domestic-gas-reservation-secures-australian-gas,90.md,Yes
2026-05-08,Electricity Contract Co-design Working Group established,https://www.dcceew.gov.au/about/news/electricity-contract-codesign-working-group-established,91.md,Yes
2026-05-08,Register for the NGER Method 2 review webinar,https://www.dcceew.gov.au/about/news/register-nger-method-2-review-webinar,92.md,Yes
2026-05-07,Meet the people monitoring for H5 bird flu,https://www.dcceew.gov.au/about/news/meet-people-monitoring-h5-bird-flu,93.md,Yes
2026-05-06,City of Ipswich trials a FOGO collection service,https://www.dcceew.gov.au/about/news/city-ipswich-trials-fogo-collection-service,CLEANED,NO FILE
2026-05-06,Compostable produce bags provided in supermarkets,https://www.dcceew.gov.au/about/news/compostable-produce-bags-provided-in-supermarkets,95.md,Yes
2026-05-06,CleanBins AI improves organic waste collection,https://www.dcceew.gov.au/about/news/cleanbins-ai-improves-organic-waste-collection,96.md,Yes
2026-05-05,Securing Australia’s fuel supply,https://www.dcceew.gov.au/about/news/securing-australias-fuel-supply,97.md,Yes
2026-05-05,Developer Rating Scheme is now open,https://www.dcceew.gov.au/about/news/developer-rating-scheme-is-now-open,98.md,Yes
2026-05-05,Meet Sally Higgins – Youth Climate Champion for COP31,https://www.dcceew.gov.au/about/news/meet-sally-higgins-youth-climate-champion-cop31,99.md,Yes
2026-05-01,Minns Labor Government unlocks land to build more than 200 new homes in East Tamworth,https://www.planning.nsw.gov.au/news/minns-labor-government-unlocks-land-build-more-than-200-new-homes-east-tamworth,100.md,Yes
2026-05-05,BASIX tool upgrades now live,https://www.planningportal.nsw.gov.au/news/basix-tool-upgrades-now-live,101.md,Yes
2026-05-04,1 May 2026 release summary,https://www.planningportal.nsw.gov.au/news/1-may-2026-release-summary,102.md,Yes
2026-05-06,"Interview with Nikolai Beilharz, ABC Adelaide Drive",https://www.foreignminister.gov.au/minister/penny-wong/transcript/interview-nikolai-beilharz-abc-adelaide-drive,103.md,No
2026-05-06,"Interview with Ali Moore, ABC Melbourne Drive",https://www.foreignminister.gov.au/minister/penny-wong/transcript/interview-ali-moore-abc-melbourne-drive,104.md,Yes
2026-05-06,Press Conference - Suva Fiji,https://www.foreignminister.gov.au/minister/penny-wong/transcript/press-conference-suva-fiji-2,105.md,Yes
2026-05-05,"Opening remarks, Meeting with Pacific Islands Forum Secretary General Baron Waqa",https://www.foreignminister.gov.au/minister/penny-wong/transcript/opening-remarks-meeting-pacific-islands-forum-secretary-general-baron-waqa,106.md,Yes
2026-05-04,"Interview with Natalie Barr, Sunrise",https://www.foreignminister.gov.au/minister/penny-wong/transcript/interview-natalie-barr-sunrise-7,107.md,Yes
2026-05-04,"Interview with James Glenday, ABC News Breakfast",https://www.foreignminister.gov.au/minister/penny-wong/transcript/interview-james-glenday-abc-news-breakfast-7,108.md,No
2026-05-06,General Council chair outlines next steps to build on momentum from MC14 negotiations,https://www.wto.org/english/news_e/news26_e/gc_06may26_386_e.htm,CLEANED,NO FILE
2026-05-05,"United States notifies import surcharges, ready for WTO consultations",https://www.wto.org/english/news_e/news26_e/bop_05may26_385_e.htm,CLEANED,NO FILE
2026-05-04,"WTO members discuss action plan for cotton sector after MC14, World Cotton Day 2026",https://www.wto.org/english/news_e/news26_e/cott_04may26_384_e.htm,CLEANED,NO FILE
2026-05-04,Trade Policy Review: Belize,https://www.wto.org/english/tratop_e/tpr_e/tpr_blz_04may26_e.htm,CLEANED,NO FILE
2026-05-01,Members adopt rules of procedure at first Fisheries Subsidies Committee meeting,https://www.wto.org/english/news_e/news26_e/fish_01may26_382_e.htm,113.md,Yes
2026-05-08,"Doorstop - Burwood, Victoria",https://www.pm.gov.au/media/doorstop-burwood-victoria,114.md,Yes
2026-05-08,Investing in suburban Rail Loop East for a more productive and better-connected Melbourne,https://www.pm.gov.au/media/investing-suburban-rail-loop-east-more-productive-and-better-connected-melbourne,115.md,Yes
2026-05-08,Radio interview - Nova Melbourne,https://www.pm.gov.au/media/radio-interview-nova-melbourne-3,116.md,No
2026-05-06,Press conference - Sydney,https://www.pm.gov.au/media/press-conference-sydney-6-may-2026,117.md,Yes
2026-05-06,Government securing more fuel reserves - the Australian Fuel Security and Resilience package,https://www.pm.gov.au/media/government-securing-more-fuel-reserves-australian-fuel-security-and-resilience-package,CLEANED,NO FILE
2026-05-05,"Doorstop - Murrumba Downs, QLD",https://www.pm.gov.au/media/doorstop-murrumba-downs-qld,119.md,Yes
2026-05-04,"Media statements - Parliament House, Canberra",https://www.pm.gov.au/media/media-statements-parliament-house-canberra,120.md,Yes
2026-05-04,Opening remarks - Parliament House,https://www.pm.gov.au/media/opening-remarks-parliament-house,121.md,No
2026-05-04,Enhanced defence and security cooperation with Japan,https://www.pm.gov.au/media/enhanced-defence-and-security-cooperation-japan,122.md,No
2026-05-04,Australia - Japan leadership dialogue,https://www.pm.gov.au/media/australia-japan-leadership-dialogue,123.md,No
2026-05-04,Strengthening energy security with Japan,https://www.pm.gov.au/media/strengthening-energy-security-japan,124.md,Yes
2026-05-04,Cyber partnership with Japan,https://www.pm.gov.au/media/cyber-partnership-japan,125.md,No
2026-05-06,Hantavirus: the ‘silent’ virus,https://www.csiro.au/en/news/All/Articles/2026/May/Hantavirus-explainer,126.md,No
2026-05-08,Copper: The metal connecting Australia’s geology to a net zero world,https://www.csiro.au/en/news/All/Articles/2026/May/copper,127.md,Yes
2026-05-08,Science lighting the way on Australia's roads,https://www.csiro.au/en/news/All/Articles/2026/May/Science-lighting-the-way-on-roads,128.md,Yes
2026-05-04,Submission: CCA Evidence Platform to Support Investors on Progress to Net Zero,https://igcc.org.au/submission-cca-evidence-platform-to-support-investors-on-progress-to-net-zero/,129.md,Yes
2026-05-07,On Good Authority - 6 May 2026,https://www.climatechangeauthority.gov.au/good-authority-6-may-2026,130.md,Yes
2026-05-07,Energy leadership in action,https://www.climatechangeauthority.gov.au/energy-leadership-action,131.md,Yes
2026-05-05,"Smarter buildings, stronger energy system",https://www.climatechangeauthority.gov.au/smarter-buildings-stronger-energy-system,132.md,Yes
2026-05-07,World Bank Prices New AUD 2 Billion with 5.5-Year Sustainable Development Bond,http://www.worldbank.org/en/news/press-release/2026/05/07/world-bank-prices-new-aud-2-billion-with-5-5-year-sustainable-development-bond,133.md,Yes
2026-05-07,World Bank and UAE Partner to Strengthen Investment Climate and Competitiveness,http://www.worldbank.org/en/news/press-release/2026/05/07/world-bank-and-uae-partner-to-strengthen-investment-climate-and-competitiveness,134.md,Yes
2026-05-05,Western and Central African Leaders Launch a Roadmap to Tackle Health Crisis in the Region,http://www.worldbank.org/en/news/press-release/2026/05/05/western-and-central-african-leaders-launch-a-roadmap-to-tackle-health-crisis-in-the-region,135.md,Yes
2026-05-05,New Partnership Between the World Bank Group and Pacific Island Countries Prioritizes Jobs and Resilience,http://www.worldbank.org/en/news/press-release/2026/05/05/new-partnership-between-the-world-bank-group-and-pacific-island-countries-prioritizes-jobs-and-resilience,136.md,Yes
2026-05-05,The Royal Government of Bhutan and the World Bank Sign Financing Agreements for the Dorjilung Hydroelectric Power Project,http://www.worldbank.org/en/news/press-release/2026/05/05/the-royal-government-of-bhutan-and-the-world-bank-sign-financing-agreements-for-the-dorjilung-hydroelectric-power-projec,137.md,Yes
2026-05-05,"Building Resilience, Powering Jobs and Growth for The Gambia’s Future",http://www.worldbank.org/en/news/press-release/2026/05/05/building-resilience-powering-jobs-and-growth-for-the-gambia-s-future,138.md,Yes
2026-05-04,Western and Central Africa Regional Conference on Early Childhood Nutrition,http://www.worldbank.org/en/news/press-release/2026/05/04/western-and-central-africa-regional-conference-on-early-childhood-nutrition,139.md,Yes
2026-05-01,"World Bank and Asian Development Bank Partner with Tonga to Strengthen Jobs, Connectivity, and Resilience",http://www.worldbank.org/en/news/press-release/2026/05/01/world-bank-and-asian-development-bank-partner-with-tonga-to-strengthen-jobs-connectivity-and-resilience,140.md,Yes
2026-05-01,Tajikistan Boosts Entrepreneurship and Jobs for Women,http://www.worldbank.org/en/news/press-release/2026/05/01/tajikistan-boosts-entrepreneurship-and-jobs-for-women,141.md,Yes
2026-05-08,Don't delay: act now to transition from the SBSCH,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/dont-delay-act-now-to-transition-from-the-sbsch,CLEANED,NO FILE
2026-05-08,Payday Super made simpler with SuperStream,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/payday-super-made-simpler-with-superstream,CLEANED,NO FILE
2026-05-07,Payday Super: breaking down the basics,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/payday-super-breaking-down-the-basics,CLEANED,NO FILE
2026-05-07,Making the move from quarterly super to Payday Super,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/making-the-move-from-quarterly-super-to-payday-super,CLEANED,NO FILE
2026-05-04,Spotlight on personal services income compliance focus,https://www.ato.gov.au/businesses-and-organisations/business-bulletins-newsroom/spotlight-on-personal-services-income-compliance-focus,146.md,Yes
2026-05-04,Super guarantee charge (SGC) statements due by 28 May,https://www.ato.gov.au/businesses-and-organisations/small-business-newsroom/super-guarantee-charge-statements-due-by-28-may,CLEANED,NO FILE
2026-05-04,2026 completed issues,https://www.ato.gov.au/about-ato/ato-advice-and-guidance/advice-under-development-program/public-advice-and-guidance-completed-issues/2026-completed-issues,CLEANED,NO FILE
2026-05-04,Advice under development – capital gains tax issues,https://www.ato.gov.au/about-ato/ato-advice-and-guidance/advice-under-development-program/advice-under-development-capital-gains-tax-issues,CLEANED,NO FILE
2026-05-04,Advice under development – GST issues,https://www.ato.gov.au/about-ato/ato-advice-and-guidance/advice-under-development-program/advice-under-development-gst-issues,CLEANED,NO FILE
2026-05-06,2026 to 2027 Victorian State Budget released,https://djsir.vic.gov.au/news-and-articles/2026-to-2027-victorian-state-budget-released,151.md,Yes
2026-05-05,Victorians are finding success through TAFE,https://djsir.vic.gov.au/news-and-articles/victorians-are-finding-success-through-tafe,152.md,Yes
2026-05-08,Celebrate Female Football Week - 8 to 17 May 2026,https://www.infrastructure.gov.au/department/media/news/celebrate-female-football-week-8-17-may-2026,153.md,Yes
2026-05-07,Community update on Norfolk Island projects,https://www.infrastructure.gov.au/department/media/news/community-update-norfolk-island-projects,154.md,Yes
2026-05-01,$48 million in safety upgrades for Victorian roads,https://www.infrastructure.gov.au/department/media/news/48-million-safety-upgrades-victorian-roads,155.md,Yes
2026-05-07,A decisive step on gas,https://www.australianindustrygroup.com.au/news/media-centre/2026/a-decisive-step-on-gas/,CLEANED,NO FILE
2026-05-06,"Fuel security package puts fundamentals in place, but broader responses required",https://www.australianindustrygroup.com.au/news/media-centre/2026/fuel-security-package-puts-fundamentals-in-place-but-broader-responses-required/,157.md,Yes
2026-05-05,RBA sounds the alarm on stagflation on the eve of the budget,https://www.australianindustrygroup.com.au/news/media-centre/2026/rba-sounds-the-alarm-on-stagflation-on-the-eve-of-the-budget/,CLEANED,NO FILE
2026-05-05,Victorian budget ignores economy to pile on more debt,https://www.australianindustrygroup.com.au/news/media-centre/2026/victorian-budget-ignores-economy-to-pile-on-more-debt/,CLEANED,NO FILE
2026-05-04,Decisive national action is needed to tackle illegal tobacco crisis,https://www.australianindustrygroup.com.au/news/media-centre/2026/decisive-national-action-is-needed-to-tackle-illegal-tobacco-crisis/,CLEANED,NO FILE
2026-05-04,Opening statement: Inquiry into the illegal tobacco crisis in Australia,https://www.australianindustrygroup.com.au/news/speeches-transcripts/2026/opening-statement-inquiry-into-the-illegal-tobacco-crisis-in-australia/,161.md,Yes
2026-05-01,VIC Budget: Freebies are not the economic answer,https://www.australianindustrygroup.com.au/news/media-centre/2026/vic-budget-freebies-are-not-the-economic-answer/,CLEANED,NO FILE
2026-05-01,Opinion: Apprenticeships work. Let’s back them and protect them,https://www.australianindustrygroup.com.au/news/speeches-transcripts/2026/apprenticeships-work.-lets-back-them-and-protect-them,CLEANED,NO FILE
2026-05-08,CEFC finance slashes consumer cost of Tasmanian transmission upgrade for Marinus,https://www.cefc.com.au/media/media-release/cefc-finance-slashes-consumer-cost-of-tasmanian-transmission-upgrade-for-marinus/,164.md,Yes
2026-05-08,What those who envisage in-home medical care have missed,https://theenergy.co/article/medtech-and-the-transition,165.md,Yes
2026-05-07,Bowen keeps one in reserve,https://theenergy.co/article/bowen-keeps-one-in-reserve,166.md,Yes
